,record,bad,cumulative bad %,cumulative total %,pred_col
0.505,8,5,54.25361155698234,22.226962457337883,prob_Logistic
0.506,5,4,54.46762974852862,22.29806598407281,prob_Logistic
0.507,5,3,54.628143392188335,22.369169510807733,prob_Logistic
0.508,2,1,54.68164794007491,22.397610921501705,prob_Logistic
0.509,8,6,55.00267522739433,22.511376564277587,prob_Logistic
0.51,5,1,55.0561797752809,22.582480091012513,prob_Logistic
0.511,2,1,55.10968432316747,22.610921501706486,prob_Logistic
0.512,3,2,55.21669341894061,22.65358361774744,prob_Logistic
0.513,11,3,55.37720706260032,22.810011376564276,prob_Logistic
0.514,9,3,55.53772070626003,22.937997724687147,prob_Logistic
0.515,1,1,55.5912252541466,22.95221843003413,prob_Logistic
0.516,4,2,55.69823434991974,23.00910125142207,prob_Logistic
0.517,4,3,55.85874799357945,23.06598407281001,prob_Logistic
0.518,2,0,55.85874799357945,23.094425483503983,prob_Logistic
0.519,4,2,55.9657570893526,23.151308304891923,prob_Logistic
0.52,2,2,56.07276618512573,23.179749715585892,prob_Logistic
0.521,2,1,56.126270733012305,23.208191126279864,prob_Logistic
0.522,17,8,56.55430711610487,23.449943117178613,prob_Logistic
0.523,18,9,57.035848047084,23.705915813424348,prob_Logistic
0.524,16,5,57.30337078651685,23.93344709897611,prob_Logistic
0.525,12,5,57.57089352594971,24.104095563139932,prob_Logistic
0.526,7,3,57.73140716960942,24.20364050056883,prob_Logistic
0.527,5,2,57.838416265382556,24.274744027303754,prob_Logistic
0.528,3,1,57.891920813269124,24.317406143344712,prob_Logistic
0.529,5,2,57.998929909042275,24.388509670079635,prob_Logistic
0.53,4,2,58.10593900481541,24.445392491467576,prob_Logistic
0.531,2,2,58.21294810058855,24.473833902161545,prob_Logistic
0.532,8,2,58.31995719636169,24.58759954493743,prob_Logistic
0.533,4,3,58.480470840021404,24.64448236632537,prob_Logistic
0.534,10,4,58.694489031567684,24.78668941979522,prob_Logistic
0.535,8,4,58.90850722311396,24.900455062571105,prob_Logistic
0.536,4,4,59.122525414660245,24.957337883959045,prob_Logistic
0.537,9,4,59.336543606206526,25.085324232081913,prob_Logistic
0.538,6,2,59.44355270197966,25.170648464163826,prob_Logistic
0.539,3,1,59.49705724986624,25.21331058020478,prob_Logistic
0.54,5,3,59.65757089352594,25.284414106939707,prob_Logistic
0.541,5,1,59.71107544141252,25.35551763367463,prob_Logistic
0.542,4,3,59.87158908507223,25.412400455062574,prob_Logistic
0.543,9,5,60.139111824505086,25.540386803185438,prob_Logistic
0.544,4,2,60.24612092027822,25.597269624573375,prob_Logistic
0.545,12,5,60.51364365971108,25.7679180887372,prob_Logistic
0.546,7,5,60.78116639914393,25.8674630261661,prob_Logistic
0.547,7,3,60.94168004280364,25.967007963594995,prob_Logistic
0.548,7,2,61.04868913857678,26.066552901023893,prob_Logistic
0.549,5,2,61.15569823434992,26.137656427758817,prob_Logistic
0.55,9,7,61.53023006955591,26.26564277588168,prob_Logistic
0.551,7,1,61.58373461744249,26.36518771331058,prob_Logistic
0.552,11,8,62.01177100053504,26.52161547212742,prob_Logistic
0.553,9,6,62.332798287854466,26.649601820250286,prob_Logistic
0.554,7,4,62.546816479400746,26.74914675767918,prob_Logistic
0.555,7,4,62.76083467094703,26.84869169510808,prob_Logistic
0.556,5,4,62.974852862493314,26.919795221843003,prob_Logistic
0.557,5,2,63.08186195826645,26.99089874857793,prob_Logistic
0.558,8,3,63.242375601926156,27.10466439135381,prob_Logistic
0.559,3,2,63.34938469769931,27.147326507394766,prob_Logistic
0.56,8,2,63.456393793472444,27.261092150170647,prob_Logistic
0.561,10,4,63.670411985018724,27.4032992036405,prob_Logistic
0.562,11,4,63.88443017656501,27.559726962457336,prob_Logistic
0.563,12,3,64.04494382022472,27.730375426621162,prob_Logistic
0.564,7,2,64.15195291599785,27.82992036405006,prob_Logistic
0.565,7,1,64.20545746388443,27.92946530147895,prob_Logistic
0.566,4,2,64.31246655965757,27.986348122866893,prob_Logistic
0.567,6,1,64.36597110754414,28.071672354948806,prob_Logistic
0.568,3,3,64.52648475120385,28.11433447098976,prob_Logistic
0.569,2,1,64.57998929909043,28.14277588168373,prob_Logistic
0.57,3,1,64.633493846977,28.185437997724687,prob_Logistic
0.571,6,2,64.74050294275014,28.2707622298066,prob_Logistic
0.572,4,2,64.84751203852326,28.327645051194537,prob_Logistic
0.573,6,2,64.95452113429641,28.41296928327645,prob_Logistic
0.574,8,3,65.11503477795613,28.526734926052335,prob_Logistic
0.575,4,2,65.22204387372926,28.58361774744027,prob_Logistic
